width,changed_count,total_trials,changed_rate
940.000000,0,10000,0.0000000000
945.000000,0,10000,0.0000000000
950.000000,0,10000,0.0000000000
955.000000,0,10000,0.0000000000
960.000000,0,10000,0.0000000000
965.000000,0,10000,0.0000000000
970.000000,0,10000,0.0000000000
975.000000,0,10000,0.0000000000
980.000000,0,10000,0.0000000000
985.000000,0,10000,0.0000000000
990.000000,0,10000,0.0000000000
995.000000,1,10000,0.0001000000
1000.000000,0,10000,0.0000000000
